Date,Rate,Currency
1957-01-01,0.5985157,AUD
1957-02-01,0.5980146,AUD
1957-03-01,0.5991253,AUD
1957-04-01,0.599988,AUD
1957-05-01,0.5995563,AUD
1957-06-01,0.5997002,AUD
1957-07-01,0.6002041,AUD
1957-08-01,0.6013229,AUD
1957-09-01,0.6008171,AUD
1957-10-01,0.5976572,AUD
1957-11-01,0.5970505,AUD
1957-12-01,0.596374,AUD
1958-01-01,0.8922198,AUD
1958-02-01,0.8914245,AUD
1958-03-01,0.891504,AUD
1958-04-01,0.8909479,AUD
1958-05-01,0.8914245,AUD
1958-06-01,0.8928571,AUD
1958-07-01,0.895175,AUD
1958-08-01,0.8947745,AUD
1958-09-01,0.8953353,AUD
1958-10-01,0.8941345,AUD
1958-11-01,0.8946144,AUD
1958-12-01,0.895175,AUD
1959-01-01,0.8943744,AUD
1959-02-01,0.8934155,AUD
1959-03-01,0.8923791,AUD
1959-04-01,0.8911862,AUD
1959-05-01,0.8917425,AUD
1959-06-01,0.8923791,AUD
1959-07-01,0.8926978,AUD
1959-08-01,0.8934155,AUD
1959-09-01,0.8952551,AUD
1959-10-01,0.8943744,AUD
1959-11-01,0.8955758,AUD
1959-12-01,0.8969414,AUD
1960-01-01,0.896459,AUD
1960-02-01,0.8953353,AUD
1960-03-01,0.8945344,AUD
1960-04-01,0.8934155,AUD
1960-05-01,0.8944544,AUD
1960-06-01,0.8955758,AUD
1960-07-01,0.8937349,AUD
1960-08-01,0.8931761,AUD
1960-09-01,0.8923791,AUD
1960-10-01,0.8926978,AUD
1960-11-01,0.8921403,AUD
1960-12-01,0.8940545,AUD
1961-01-01,0.8943744,AUD
1961-02-01,0.896459,AUD
1961-03-01,0.8971828,AUD
1961-04-01,0.8970219,AUD
1961-05-01,0.8983112,AUD
1961-06-01,0.8996851,AUD
1961-07-01,0.9004953,AUD
1961-08-01,0.8954957,AUD
1961-09-01,0.8925384,AUD
1961-10-01,0.891504,AUD
1961-11-01,0.891663,AUD
1961-12-01,0.8933357,AUD
1962-01-01,0.890472,AUD
1962-02-01,0.88968,AUD
1962-03-01,0.88968,AUD
1962-04-01,0.890472,AUD
1962-05-01,0.891266,AUD
1962-06-01,0.892061,AUD
1962-07-01,0.892857,AUD
1962-08-01,0.893655,AUD
1962-09-01,0.894454,AUD
1962-10-01,0.894454,AUD
1962-11-01,0.893655,AUD
1962-12-01,0.893655,AUD
1963-01-01,0.893655,AUD
1963-02-01,0.893655,AUD
1963-03-01,0.884454,AUD
1963-04-01,0.884454,AUD
1963-05-01,0.884454,AUD
1963-06-01,0.884454,AUD
1963-07-01,0.884454,AUD
1963-08-01,0.895255,AUD
1963-09-01,0.896058,AUD
1963-10-01,0.895255,AUD
1963-11-01,0.895255,AUD
1963-12-01,0.896058,AUD
1964-01-01,0.895255,AUD
1964-02-01,0.895255,AUD
1964-03-01,0.895255,AUD
1964-04-01,0.884454,AUD
1964-05-01,0.885255,AUD
1964-06-01,0.896861,AUD
1964-07-01,0.898472,AUD
1964-08-01,0.90001,AUD
1964-09-01,0.90001,AUD
1964-10-01,0.90001,AUD
1964-11-01,0.897667,AUD
1964-12-01,0.896861,AUD
1965-01-01,0.896861,AUD
1965-02-01,0.896057,AUD
1965-03-01,0.896861,AUD
1965-04-01,0.885255,AUD
1965-05-01,0.896861,AUD
1965-06-01,0.897667,AUD
1965-07-01,0.885255,AUD
1965-08-01,0.897667,AUD
1965-09-01,0.884454,AUD
1965-10-01,0.893655,AUD
1965-11-01,0.893655,AUD
